Regions;Storage_tech;Typical_days;Hours;Storage_out;Storage_in;Storage_power
C5;TS_DEC_HP_ELEC;14;1;;;0.0
C5;TS_DEC_HP_ELEC;14;2;;;0.0
C5;TS_DEC_HP_ELEC;14;3;;;0.0
C5;TS_DEC_HP_ELEC;14;4;;;0.0
C5;TS_DEC_HP_ELEC;14;5;;;0.0
C5;TS_DEC_HP_ELEC;14;6;;;0.0
C5;TS_DEC_HP_ELEC;14;7;;;0.0
C5;TS_DEC_HP_ELEC;14;8;;;0.0
C5;TS_DEC_HP_ELEC;14;9;;;0.0
C5;TS_DEC_HP_ELEC;14;10;;;0.0
C5;TS_DEC_HP_ELEC;14;11;;;0.0
C5;TS_DEC_HP_ELEC;14;12;;;0.0
C5;TS_DEC_HP_ELEC;14;13;;;0.0
C5;TS_DEC_HP_ELEC;14;14;;;0.0
C5;TS_DEC_HP_ELEC;14;15;;;0.0
C5;TS_DEC_HP_ELEC;14;16;;;0.0
C5;TS_DEC_HP_ELEC;14;17;;;0.0
C5;TS_DEC_HP_ELEC;14;18;;;0.0
C5;TS_DEC_HP_ELEC;14;19;;;0.0
C5;TS_DEC_HP_ELEC;14;20;;;0.0
C5;TS_DEC_HP_ELEC;14;21;;;0.0
C5;TS_DEC_HP_ELEC;14;22;;;0.0
C5;TS_DEC_HP_ELEC;14;23;;;0.0
C5;TS_DEC_HP_ELEC;14;24;;;0.0
C5;TS_DEC_HP_ELEC;15;1;;;0.0
C5;TS_DEC_HP_ELEC;15;2;;;0.0
C5;TS_DEC_HP_ELEC;15;3;;;0.0
C5;TS_DEC_HP_ELEC;15;4;;;0.0
C5;TS_DEC_HP_ELEC;15;5;;;0.0
C5;TS_DEC_HP_ELEC;15;6;;;0.0
C5;TS_DEC_HP_ELEC;15;7;;;0.0
C5;TS_DEC_HP_ELEC;15;8;;;0.0
C5;TS_DEC_HP_ELEC;15;9;;;0.0
C5;TS_DEC_HP_ELEC;15;10;;;0.0
C5;TS_DEC_HP_ELEC;15;11;;;0.0
C5;TS_DEC_HP_ELEC;15;12;;;0.0
C5;TS_DEC_HP_ELEC;15;13;;;0.0
C5;TS_DEC_HP_ELEC;15;14;;;0.0
C5;TS_DEC_HP_ELEC;15;15;;;0.0
C5;TS_DEC_HP_ELEC;15;16;;;0.0
C5;TS_DEC_HP_ELEC;15;17;;;0.0
C5;TS_DEC_HP_ELEC;15;18;;;0.0
C5;TS_DEC_HP_ELEC;15;19;;;0.0
C5;TS_DEC_HP_ELEC;15;20;;;0.0
C5;TS_DEC_HP_ELEC;15;21;;;0.0
C5;TS_DEC_HP_ELEC;15;22;;;0.0
C5;TS_DEC_HP_ELEC;15;23;;;0.0
C5;TS_DEC_HP_ELEC;15;24;;;0.0
C5;TS_DEC_HP_ELEC;16;1;;;0.0
C5;TS_DEC_HP_ELEC;16;2;;;0.0
C5;TS_DEC_HP_ELEC;16;3;;;0.0
C5;TS_DEC_HP_ELEC;16;4;;;0.0
C5;TS_DEC_HP_ELEC;16;5;;;0.0
C5;TS_DEC_HP_ELEC;16;6;;;0.0
C5;TS_DEC_HP_ELEC;16;7;;;0.0
C5;TS_DEC_HP_ELEC;16;8;;;0.0
C5;TS_DEC_HP_ELEC;16;9;;;0.0
C5;TS_DEC_HP_ELEC;16;10;;;0.0
C5;TS_DEC_HP_ELEC;16;11;;;0.0
C5;TS_DEC_HP_ELEC;16;12;;;0.0
C5;TS_DEC_HP_ELEC;16;13;;;0.0
C5;TS_DEC_HP_ELEC;16;14;;;0.0
C5;TS_DEC_HP_ELEC;16;15;;;0.0
C5;TS_DEC_HP_ELEC;16;16;;;0.0
C5;TS_DEC_HP_ELEC;16;17;;;0.0
C5;TS_DEC_HP_ELEC;16;18;;;0.0
C5;TS_DEC_HP_ELEC;16;19;;;0.0
C5;TS_DEC_HP_ELEC;16;20;;;0.0
C5;TS_DEC_HP_ELEC;16;21;;;0.0
C5;TS_DEC_HP_ELEC;16;22;;;0.0
C5;TS_DEC_HP_ELEC;16;23;;;0.0
C5;TS_DEC_HP_ELEC;16;24;;;0.0
C5;TS_DEC_THHP_GAS;1;1;;;0.0
C5;TS_DEC_THHP_GAS;1;2;;;0.0
C5;TS_DEC_THHP_GAS;1;3;;;0.0
C5;TS_DEC_THHP_GAS;1;4;;;0.0
C5;TS_DEC_THHP_GAS;1;5;;;0.0
C5;TS_DEC_THHP_GAS;1;6;;;0.0
C5;TS_DEC_THHP_GAS;1;7;;;0.0
C5;TS_DEC_THHP_GAS;1;8;;;0.0
C5;TS_DEC_THHP_GAS;1;9;;;0.0
C5;TS_DEC_THHP_GAS;1;10;;;0.0
C5;TS_DEC_THHP_GAS;1;11;;;0.0
C5;TS_DEC_THHP_GAS;1;12;;;0.0
C5;TS_DEC_THHP_GAS;1;13;;;0.0
C5;TS_DEC_THHP_GAS;1;14;;;0.0
C5;TS_DEC_THHP_GAS;1;15;;;0.0
C5;TS_DEC_THHP_GAS;1;16;;;0.0
C5;TS_DEC_THHP_GAS;1;17;;;0.0
C5;TS_DEC_THHP_GAS;1;18;;;0.0
C5;TS_DEC_THHP_GAS;1;19;;;0.0
C5;TS_DEC_THHP_GAS;1;20;;;0.0
C5;TS_DEC_THHP_GAS;1;21;;;0.0
C5;TS_DEC_THHP_GAS;1;22;;;0.0
C5;TS_DEC_THHP_GAS;1;23;;;0.0
C5;TS_DEC_THHP_GAS;1;24;;;0.0
C5;TS_DEC_THHP_GAS;2;1;;;0.0
C5;TS_DEC_THHP_GAS;2;2;;;0.0
C5;TS_DEC_THHP_GAS;2;3;;;0.0
C5;TS_DEC_THHP_GAS;2;4;;;0.0
C5;TS_DEC_THHP_GAS;2;5;;;0.0
C5;TS_DEC_THHP_GAS;2;6;;;0.0
C5;TS_DEC_THHP_GAS;2;7;;;0.0
C5;TS_DEC_THHP_GAS;2;8;;;0.0
C5;TS_DEC_THHP_GAS;2;9;;;0.0
C5;TS_DEC_THHP_GAS;2;10;;;0.0
C5;TS_DEC_THHP_GAS;2;11;;;0.0
C5;TS_DEC_THHP_GAS;2;12;;;0.0
C5;TS_DEC_THHP_GAS;2;13;;;0.0
C5;TS_DEC_THHP_GAS;2;14;;;0.0
C5;TS_DEC_THHP_GAS;2;15;;;0.0
C5;TS_DEC_THHP_GAS;2;16;;;0.0
C5;TS_DEC_THHP_GAS;2;17;;;0.0
C5;TS_DEC_THHP_GAS;2;18;;;0.0
C5;TS_DEC_THHP_GAS;2;19;;;0.0
C5;TS_DEC_THHP_GAS;2;20;;;0.0
C5;TS_DEC_THHP_GAS;2;21;;;0.0
C5;TS_DEC_THHP_GAS;2;22;;;0.0
C5;TS_DEC_THHP_GAS;2;23;;;0.0
C5;TS_DEC_THHP_GAS;2;24;;;0.0
C5;TS_DEC_THHP_GAS;3;1;;;0.0
C5;TS_DEC_THHP_GAS;3;2;;;0.0
C5;TS_DEC_THHP_GAS;3;3;;;0.0
C5;TS_DEC_THHP_GAS;3;4;;;0.0
C5;TS_DEC_THHP_GAS;3;5;;;0.0
C5;TS_DEC_THHP_GAS;3;6;;;0.0
C5;TS_DEC_THHP_GAS;3;7;;;0.0
C5;TS_DEC_THHP_GAS;3;8;;;0.0
C5;TS_DEC_THHP_GAS;3;9;;;0.0
C5;TS_DEC_THHP_GAS;3;10;;;0.0
C5;TS_DEC_THHP_GAS;3;11;;;0.0
C5;TS_DEC_THHP_GAS;3;12;;;0.0
C5;TS_DEC_THHP_GAS;3;13;;;0.0
C5;TS_DEC_THHP_GAS;3;14;;;0.0
C5;TS_DEC_THHP_GAS;3;15;;;0.0
C5;TS_DEC_THHP_GAS;3;16;;;0.0
C5;TS_DEC_THHP_GAS;3;17;;;0.0
C5;TS_DEC_THHP_GAS;3;18;;;0.0
C5;TS_DEC_THHP_GAS;3;19;;;0.0
C5;TS_DEC_THHP_GAS;3;20;;;0.0
C5;TS_DEC_THHP_GAS;3;21;;;0.0
C5;TS_DEC_THHP_GAS;3;22;;;0.0
C5;TS_DEC_THHP_GAS;3;23;;;0.0
C5;TS_DEC_THHP_GAS;3;24;;;0.0
C5;TS_DEC_THHP_GAS;4;1;;;0.0
C5;TS_DEC_THHP_GAS;4;2;;;0.0
C5;TS_DEC_THHP_GAS;4;3;;;0.0
C5;TS_DEC_THHP_GAS;4;4;;;0.0
C5;TS_DEC_THHP_GAS;4;5;;;0.0
C5;TS_DEC_THHP_GAS;4;6;;;0.0
C5;TS_DEC_THHP_GAS;4;7;;;0.0
C5;TS_DEC_THHP_GAS;4;8;;;0.0
C5;TS_DEC_THHP_GAS;4;9;;;0.0
C5;TS_DEC_THHP_GAS;4;10;;;0.0
C5;TS_DEC_THHP_GAS;4;11;;;0.0
C5;TS_DEC_THHP_GAS;4;12;;;0.0
C5;TS_DEC_THHP_GAS;4;13;;;0.0
C5;TS_DEC_THHP_GAS;4;14;;;0.0
C5;TS_DEC_THHP_GAS;4;15;;;0.0
C5;TS_DEC_THHP_GAS;4;16;;;0.0
C5;TS_DEC_THHP_GAS;4;17;;;0.0
C5;TS_DEC_THHP_GAS;4;18;;;0.0
C5;TS_DEC_THHP_GAS;4;19;;;0.0
C5;TS_DEC_THHP_GAS;4;20;;;0.0
C5;TS_DEC_THHP_GAS;4;21;;;0.0
C5;TS_DEC_THHP_GAS;4;22;;;0.0
C5;TS_DEC_THHP_GAS;4;23;;;0.0
C5;TS_DEC_THHP_GAS;4;24;;;0.0
C5;TS_DEC_THHP_GAS;5;1;;;0.0
C5;TS_DEC_THHP_GAS;5;2;;;0.0
C5;TS_DEC_THHP_GAS;5;3;;;0.0
C5;TS_DEC_THHP_GAS;5;4;;;0.0
C5;TS_DEC_THHP_GAS;5;5;;;0.0
C5;TS_DEC_THHP_GAS;5;6;;;0.0
C5;TS_DEC_THHP_GAS;5;7;;;0.0
C5;TS_DEC_THHP_GAS;5;8;;;0.0
C5;TS_DEC_THHP_GAS;5;9;;;0.0
C5;TS_DEC_THHP_GAS;5;10;;;0.0
C5;TS_DEC_THHP_GAS;5;11;;;0.0
C5;TS_DEC_THHP_GAS;5;12;;;0.0
C5;TS_DEC_THHP_GAS;5;13;;;0.0
C5;TS_DEC_THHP_GAS;5;14;;;0.0
C5;TS_DEC_THHP_GAS;5;15;;;0.0
C5;TS_DEC_THHP_GAS;5;16;;;0.0
C5;TS_DEC_THHP_GAS;5;17;;;0.0
C5;TS_DEC_THHP_GAS;5;18;;;0.0
C5;TS_DEC_THHP_GAS;5;19;;;0.0
C5;TS_DEC_THHP_GAS;5;20;;;0.0
C5;TS_DEC_THHP_GAS;5;21;;;0.0
C5;TS_DEC_THHP_GAS;5;22;;;0.0
C5;TS_DEC_THHP_GAS;5;23;;;0.0
C5;TS_DEC_THHP_GAS;5;24;;;0.0
C5;TS_DEC_THHP_GAS;6;1;;;0.0
C5;TS_DEC_THHP_GAS;6;2;;;0.0
C5;TS_DEC_THHP_GAS;6;3;;;0.0
C5;TS_DEC_THHP_GAS;6;4;;;0.0
C5;TS_DEC_THHP_GAS;6;5;;;0.0
C5;TS_DEC_THHP_GAS;6;6;;;0.0
C5;TS_DEC_THHP_GAS;6;7;;;0.0
C5;TS_DEC_THHP_GAS;6;8;;;0.0
C5;TS_DEC_THHP_GAS;6;9;;;0.0
C5;TS_DEC_THHP_GAS;6;10;;;0.0
C5;TS_DEC_THHP_GAS;6;11;;;0.0
C5;TS_DEC_THHP_GAS;6;12;;;0.0
C5;TS_DEC_THHP_GAS;6;13;;;0.0
C5;TS_DEC_THHP_GAS;6;14;;;0.0
C5;TS_DEC_THHP_GAS;6;15;;;0.0
C5;TS_DEC_THHP_GAS;6;16;;;0.0
C5;TS_DEC_THHP_GAS;6;17;;;0.0
C5;TS_DEC_THHP_GAS;6;18;;;0.0
C5;TS_DEC_THHP_GAS;6;19;;;0.0
C5;TS_DEC_THHP_GAS;6;20;;;0.0
C5;TS_DEC_THHP_GAS;6;21;;;0.0
C5;TS_DEC_THHP_GAS;6;22;;;0.0
C5;TS_DEC_THHP_GAS;6;23;;;0.0
C5;TS_DEC_THHP_GAS;6;24;;;0.0
C5;TS_DEC_THHP_GAS;7;1;;;0.0
C5;TS_DEC_THHP_GAS;7;2;;;0.0
C5;TS_DEC_THHP_GAS;7;3;;;0.0
C5;TS_DEC_THHP_GAS;7;4;;;0.0
C5;TS_DEC_THHP_GAS;7;5;;;0.0
C5;TS_DEC_THHP_GAS;7;6;;;0.0
C5;TS_DEC_THHP_GAS;7;7;;;0.0
C5;TS_DEC_THHP_GAS;7;8;;;0.0
C5;TS_DEC_THHP_GAS;7;9;;;0.0
C5;TS_DEC_THHP_GAS;7;10;;;0.0
C5;TS_DEC_THHP_GAS;7;11;;;0.0
C5;TS_DEC_THHP_GAS;7;12;;;0.0
C5;TS_DEC_THHP_GAS;7;13;;;0.0
C5;TS_DEC_THHP_GAS;7;14;;;0.0
C5;TS_DEC_THHP_GAS;7;15;;;0.0
C5;TS_DEC_THHP_GAS;7;16;;;0.0
C5;TS_DEC_THHP_GAS;7;17;;;0.0
C5;TS_DEC_THHP_GAS;7;18;;;0.0
C5;TS_DEC_THHP_GAS;7;19;;;0.0
C5;TS_DEC_THHP_GAS;7;20;;;0.0
C5;TS_DEC_THHP_GAS;7;21;;;0.0
C5;TS_DEC_THHP_GAS;7;22;;;0.0
C5;TS_DEC_THHP_GAS;7;23;;;0.0
C5;TS_DEC_THHP_GAS;7;24;;;0.0
C5;TS_DEC_THHP_GAS;8;1;;;0.0
C5;TS_DEC_THHP_GAS;8;2;;;0.0
C5;TS_DEC_THHP_GAS;8;3;;;0.0
C5;TS_DEC_THHP_GAS;8;4;;;0.0
C5;TS_DEC_THHP_GAS;8;5;;;0.0
C5;TS_DEC_THHP_GAS;8;6;;;0.0
C5;TS_DEC_THHP_GAS;8;7;;;0.0
C5;TS_DEC_THHP_GAS;8;8;;;0.0
C5;TS_DEC_THHP_GAS;8;9;;;0.0
C5;TS_DEC_THHP_GAS;8;10;;;0.0
C5;TS_DEC_THHP_GAS;8;11;;;0.0
C5;TS_DEC_THHP_GAS;8;12;;;0.0
C5;TS_DEC_THHP_GAS;8;13;;;0.0
C5;TS_DEC_THHP_GAS;8;14;;;0.0
C5;TS_DEC_THHP_GAS;8;15;;;0.0
C5;TS_DEC_THHP_GAS;8;16;;;0.0
C5;TS_DEC_THHP_GAS;8;17;;;0.0
C5;TS_DEC_THHP_GAS;8;18;;;0.0
C5;TS_DEC_THHP_GAS;8;19;;;0.0
C5;TS_DEC_THHP_GAS;8;20;;;0.0
C5;TS_DEC_THHP_GAS;8;21;;;0.0
C5;TS_DEC_THHP_GAS;8;22;;;0.0
C5;TS_DEC_THHP_GAS;8;23;;;0.0
C5;TS_DEC_THHP_GAS;8;24;;;0.0
C5;TS_DEC_THHP_GAS;9;1;;;0.0
C5;TS_DEC_THHP_GAS;9;2;;;0.0
C5;TS_DEC_THHP_GAS;9;3;;;0.0
C5;TS_DEC_THHP_GAS;9;4;;;0.0
C5;TS_DEC_THHP_GAS;9;5;;;0.0
C5;TS_DEC_THHP_GAS;9;6;;;0.0
C5;TS_DEC_THHP_GAS;9;7;;;0.0
C5;TS_DEC_THHP_GAS;9;8;;;0.0
C5;TS_DEC_THHP_GAS;9;9;;;0.0
C5;TS_DEC_THHP_GAS;9;10;;;0.0
C5;TS_DEC_THHP_GAS;9;11;;;0.0
C5;TS_DEC_THHP_GAS;9;12;;;0.0
C5;TS_DEC_THHP_GAS;9;13;;;0.0
C5;TS_DEC_THHP_GAS;9;14;;;0.0
C5;TS_DEC_THHP_GAS;9;15;;;0.0
C5;TS_DEC_THHP_GAS;9;16;;;0.0
C5;TS_DEC_THHP_GAS;9;17;;;0.0
C5;TS_DEC_THHP_GAS;9;18;;;0.0
C5;TS_DEC_THHP_GAS;9;19;;;0.0
C5;TS_DEC_THHP_GAS;9;20;;;0.0
C5;TS_DEC_THHP_GAS;9;21;;;0.0
C5;TS_DEC_THHP_GAS;9;22;;;0.0
C5;TS_DEC_THHP_GAS;9;23;;;0.0
C5;TS_DEC_THHP_GAS;9;24;;;0.0
C5;TS_DEC_THHP_GAS;10;1;;;0.0
C5;TS_DEC_THHP_GAS;10;2;;;0.0
C5;TS_DEC_THHP_GAS;10;3;;;0.0
C5;TS_DEC_THHP_GAS;10;4;;;0.0
C5;TS_DEC_THHP_GAS;10;5;;;0.0
C5;TS_DEC_THHP_GAS;10;6;;;0.0
C5;TS_DEC_THHP_GAS;10;7;;;0.0
C5;TS_DEC_THHP_GAS;10;8;;;0.0
C5;TS_DEC_THHP_GAS;10;9;;;0.0
C5;TS_DEC_THHP_GAS;10;10;;;0.0
C5;TS_DEC_THHP_GAS;10;11;;;0.0
C5;TS_DEC_THHP_GAS;10;12;;;0.0
C5;TS_DEC_THHP_GAS;10;13;;;0.0
C5;TS_DEC_THHP_GAS;10;14;;;0.0
C5;TS_DEC_THHP_GAS;10;15;;;0.0
C5;TS_DEC_THHP_GAS;10;16;;;0.0
C5;TS_DEC_THHP_GAS;10;17;;;0.0
C5;TS_DEC_THHP_GAS;10;18;;;0.0
C5;TS_DEC_THHP_GAS;10;19;;;0.0
C5;TS_DEC_THHP_GAS;10;20;;;0.0
C5;TS_DEC_THHP_GAS;10;21;;;0.0
C5;TS_DEC_THHP_GAS;10;22;;;0.0
C5;TS_DEC_THHP_GAS;10;23;;;0.0
C5;TS_DEC_THHP_GAS;10;24;;;0.0
C5;TS_DEC_THHP_GAS;11;1;;;0.0
C5;TS_DEC_THHP_GAS;11;2;;;0.0
C5;TS_DEC_THHP_GAS;11;3;;;0.0
C5;TS_DEC_THHP_GAS;11;4;;;0.0
C5;TS_DEC_THHP_GAS;11;5;;;0.0
C5;TS_DEC_THHP_GAS;11;6;;;0.0
C5;TS_DEC_THHP_GAS;11;7;;;0.0
C5;TS_DEC_THHP_GAS;11;8;;;0.0
C5;TS_DEC_THHP_GAS;11;9;;;0.0
C5;TS_DEC_THHP_GAS;11;10;;;0.0
C5;TS_DEC_THHP_GAS;11;11;;;0.0
C5;TS_DEC_THHP_GAS;11;12;;;0.0
C5;TS_DEC_THHP_GAS;11;13;;;0.0
C5;TS_DEC_THHP_GAS;11;14;;;0.0
C5;TS_DEC_THHP_GAS;11;15;;;0.0
C5;TS_DEC_THHP_GAS;11;16;;;0.0
C5;TS_DEC_THHP_GAS;11;17;;;0.0
C5;TS_DEC_THHP_GAS;11;18;;;0.0
C5;TS_DEC_THHP_GAS;11;19;;;0.0
C5;TS_DEC_THHP_GAS;11;20;;;0.0
C5;TS_DEC_THHP_GAS;11;21;;;0.0
C5;TS_DEC_THHP_GAS;11;22;;;0.0
C5;TS_DEC_THHP_GAS;11;23;;;0.0
C5;TS_DEC_THHP_GAS;11;24;;;0.0
C5;TS_DEC_THHP_GAS;12;1;;;0.0
C5;TS_DEC_THHP_GAS;12;2;;;0.0
C5;TS_DEC_THHP_GAS;12;3;;;0.0
C5;TS_DEC_THHP_GAS;12;4;;;0.0
C5;TS_DEC_THHP_GAS;12;5;;;0.0
C5;TS_DEC_THHP_GAS;12;6;;;0.0
C5;TS_DEC_THHP_GAS;12;7;;;0.0
C5;TS_DEC_THHP_GAS;12;8;;;0.0
C5;TS_DEC_THHP_GAS;12;9;;;0.0
C5;TS_DEC_THHP_GAS;12;10;;;0.0
C5;TS_DEC_THHP_GAS;12;11;;;0.0
C5;TS_DEC_THHP_GAS;12;12;;;0.0
C5;TS_DEC_THHP_GAS;12;13;;;0.0
C5;TS_DEC_THHP_GAS;12;14;;;0.0
C5;TS_DEC_THHP_GAS;12;15;;;0.0
C5;TS_DEC_THHP_GAS;12;16;;;0.0
C5;TS_DEC_THHP_GAS;12;17;;;0.0
C5;TS_DEC_THHP_GAS;12;18;;;0.0
C5;TS_DEC_THHP_GAS;12;19;;;0.0
C5;TS_DEC_THHP_GAS;12;20;;;0.0
C5;TS_DEC_THHP_GAS;12;21;;;0.0
C5;TS_DEC_THHP_GAS;12;22;;;0.0
C5;TS_DEC_THHP_GAS;12;23;;;0.0
C5;TS_DEC_THHP_GAS;12;24;;;0.0
C5;TS_DEC_THHP_GAS;13;1;;;0.0
C5;TS_DEC_THHP_GAS;13;2;;;0.0
C5;TS_DEC_THHP_GAS;13;3;;;0.0
C5;TS_DEC_THHP_GAS;13;4;;;0.0
C5;TS_DEC_THHP_GAS;13;5;;;0.0
C5;TS_DEC_THHP_GAS;13;6;;;0.0
C5;TS_DEC_THHP_GAS;13;7;;;0.0
C5;TS_DEC_THHP_GAS;13;8;;;0.0
C5;TS_DEC_THHP_GAS;13;9;;;0.0
C5;TS_DEC_THHP_GAS;13;10;;;0.0
C5;TS_DEC_THHP_GAS;13;11;;;0.0
C5;TS_DEC_THHP_GAS;13;12;;;0.0
C5;TS_DEC_THHP_GAS;13;13;;;0.0
C5;TS_DEC_THHP_GAS;13;14;;;0.0
C5;TS_DEC_THHP_GAS;13;15;;;0.0
C5;TS_DEC_THHP_GAS;13;16;;;0.0
C5;TS_DEC_THHP_GAS;13;17;;;0.0
C5;TS_DEC_THHP_GAS;13;18;;;0.0
C5;TS_DEC_THHP_GAS;13;19;;;0.0
C5;TS_DEC_THHP_GAS;13;20;;;0.0
C5;TS_DEC_THHP_GAS;13;21;;;0.0
C5;TS_DEC_THHP_GAS;13;22;;;0.0
C5;TS_DEC_THHP_GAS;13;23;;;0.0
C5;TS_DEC_THHP_GAS;13;24;;;0.0
C5;TS_DEC_THHP_GAS;14;1;;;0.0
C5;TS_DEC_THHP_GAS;14;2;;;0.0
C5;TS_DEC_THHP_GAS;14;3;;;0.0
C5;TS_DEC_THHP_GAS;14;4;;;0.0
C5;TS_DEC_THHP_GAS;14;5;;;0.0
C5;TS_DEC_THHP_GAS;14;6;;;0.0
C5;TS_DEC_THHP_GAS;14;7;;;0.0
C5;TS_DEC_THHP_GAS;14;8;;;0.0
C5;TS_DEC_THHP_GAS;14;9;;;0.0
C5;TS_DEC_THHP_GAS;14;10;;;0.0
C5;TS_DEC_THHP_GAS;14;11;;;0.0
C5;TS_DEC_THHP_GAS;14;12;;;0.0
C5;TS_DEC_THHP_GAS;14;13;;;0.0
C5;TS_DEC_THHP_GAS;14;14;;;0.0
C5;TS_DEC_THHP_GAS;14;15;;;0.0
C5;TS_DEC_THHP_GAS;14;16;;;0.0
C5;TS_DEC_THHP_GAS;14;17;;;0.0
C5;TS_DEC_THHP_GAS;14;18;;;0.0
C5;TS_DEC_THHP_GAS;14;19;;;0.0
C5;TS_DEC_THHP_GAS;14;20;;;0.0
C5;TS_DEC_THHP_GAS;14;21;;;0.0
C5;TS_DEC_THHP_GAS;14;22;;;0.0
C5;TS_DEC_THHP_GAS;14;23;;;0.0
C5;TS_DEC_THHP_GAS;14;24;;;0.0
C5;TS_DEC_THHP_GAS;15;1;;;0.0
C5;TS_DEC_THHP_GAS;15;2;;;0.0
C5;TS_DEC_THHP_GAS;15;3;;;0.0
C5;TS_DEC_THHP_GAS;15;4;;;0.0
C5;TS_DEC_THHP_GAS;15;5;;;0.0
C5;TS_DEC_THHP_GAS;15;6;;;0.0
C5;TS_DEC_THHP_GAS;15;7;;;0.0
C5;TS_DEC_THHP_GAS;15;8;;;0.0
C5;TS_DEC_THHP_GAS;15;9;;;0.0
C5;TS_DEC_THHP_GAS;15;10;;;0.0
C5;TS_DEC_THHP_GAS;15;11;;;0.0
C5;TS_DEC_THHP_GAS;15;12;;;0.0
C5;TS_DEC_THHP_GAS;15;13;;;0.0
C5;TS_DEC_THHP_GAS;15;14;;;0.0
C5;TS_DEC_THHP_GAS;15;15;;;0.0
C5;TS_DEC_THHP_GAS;15;16;;;0.0
C5;TS_DEC_THHP_GAS;15;17;;;0.0
C5;TS_DEC_THHP_GAS;15;18;;;0.0
C5;TS_DEC_THHP_GAS;15;19;;;0.0
C5;TS_DEC_THHP_GAS;15;20;;;0.0
C5;TS_DEC_THHP_GAS;15;21;;;0.0
C5;TS_DEC_THHP_GAS;15;22;;;0.0
C5;TS_DEC_THHP_GAS;15;23;;;0.0
C5;TS_DEC_THHP_GAS;15;24;;;0.0
C5;TS_DEC_THHP_GAS;16;1;;;0.0
C5;TS_DEC_THHP_GAS;16;2;;;0.0
C5;TS_DEC_THHP_GAS;16;3;;;0.0
C5;TS_DEC_THHP_GAS;16;4;;;0.0
C5;TS_DEC_THHP_GAS;16;5;;;0.0
C5;TS_DEC_THHP_GAS;16;6;;;0.0
C5;TS_DEC_THHP_GAS;16;7;;;0.0
C5;TS_DEC_THHP_GAS;16;8;;;0.0
C5;TS_DEC_THHP_GAS;16;9;;;0.0
C5;TS_DEC_THHP_GAS;16;10;;;0.0
C5;TS_DEC_THHP_GAS;16;11;;;0.0
C5;TS_DEC_THHP_GAS;16;12;;;0.0
C5;TS_DEC_THHP_GAS;16;13;;;0.0
C5;TS_DEC_THHP_GAS;16;14;;;0.0
C5;TS_DEC_THHP_GAS;16;15;;;0.0
C5;TS_DEC_THHP_GAS;16;16;;;0.0
C5;TS_DEC_THHP_GAS;16;17;;;0.0
C5;TS_DEC_THHP_GAS;16;18;;;0.0
C5;TS_DEC_THHP_GAS;16;19;;;0.0
C5;TS_DEC_THHP_GAS;16;20;;;0.0
C5;TS_DEC_THHP_GAS;16;21;;;0.0
C5;TS_DEC_THHP_GAS;16;22;;;0.0
C5;TS_DEC_THHP_GAS;16;23;;;0.0
C5;TS_DEC_THHP_GAS;16;24;;;0.0
C5;TS_DHN_DAILY;1;1;;;0.0
C5;TS_DHN_DAILY;1;2;;;0.0
C5;TS_DHN_DAILY;1;3;;;0.0
C5;TS_DHN_DAILY;1;4;;;0.0
C5;TS_DHN_DAILY;1;5;;;0.0
C5;TS_DHN_DAILY;1;6;;;0.0
C5;TS_DHN_DAILY;1;7;;;0.0
C5;TS_DHN_DAILY;1;8;;;0.0
C5;TS_DHN_DAILY;1;9;;;0.0
C5;TS_DHN_DAILY;1;10;;;0.0
C5;TS_DHN_DAILY;1;11;;;0.0
C5;TS_DHN_DAILY;1;12;;;0.0
C5;TS_DHN_DAILY;1;13;;;0.0
C5;TS_DHN_DAILY;1;14;;;0.0
C5;TS_DHN_DAILY;1;15;;;0.0
C5;TS_DHN_DAILY;1;16;;;0.0
C5;TS_DHN_DAILY;1;17;;;0.0
C5;TS_DHN_DAILY;1;18;;;0.0
C5;TS_DHN_DAILY;1;19;;;0.0
C5;TS_DHN_DAILY;1;20;;;0.0
C5;TS_DHN_DAILY;1;21;;;0.0
C5;TS_DHN_DAILY;1;22;;;0.0
C5;TS_DHN_DAILY;1;23;;;0.0
C5;TS_DHN_DAILY;1;24;;;0.0
C5;TS_DHN_DAILY;2;1;;;0.0
C5;TS_DHN_DAILY;2;2;;;0.0
C5;TS_DHN_DAILY;2;3;;;0.0
C5;TS_DHN_DAILY;2;4;;;0.0
C5;TS_DHN_DAILY;2;5;;;0.0
C5;TS_DHN_DAILY;2;6;;;0.0
C5;TS_DHN_DAILY;2;7;;;0.0
C5;TS_DHN_DAILY;2;8;;;0.0
C5;TS_DHN_DAILY;2;9;;;0.0
C5;TS_DHN_DAILY;2;10;;;0.0
C5;TS_DHN_DAILY;2;11;;;0.0
C5;TS_DHN_DAILY;2;12;;;0.0
C5;TS_DHN_DAILY;2;13;;;0.0
C5;TS_DHN_DAILY;2;14;;;0.0
C5;TS_DHN_DAILY;2;15;;;0.0
C5;TS_DHN_DAILY;2;16;;;0.0
C5;TS_DHN_DAILY;2;17;;;0.0
C5;TS_DHN_DAILY;2;18;;;0.0
C5;TS_DHN_DAILY;2;19;;;0.0
C5;TS_DHN_DAILY;2;20;;;0.0
C5;TS_DHN_DAILY;2;21;;;0.0
C5;TS_DHN_DAILY;2;22;;;0.0
C5;TS_DHN_DAILY;2;23;;;0.0
